district,school_name,poa_school_net,master_education_likelihood,bachelor_education_likelihood,teacher_ratio,Reference,,school_website,school_type_1,school_type_2,student_gender,religion,school_size,medium_of_instruction,through_train_sec_school,feeder_sec_school,nominated_sec_school,school_bus,nanny_van,fac_no_of_classroom,fac_no_of_school_hall,fac_no_of_playground,fac_no_of_library,fac_special_rooms,fac_support_for_specialedu,previous_year_tsi_no_of_approved_teaching_posts,previous_year_tsi_total_no_of_teachers,previous_year_tsi_percent_of_received_teacher_training,previous_year_tsi_percent_of_bacherlor,previous_year_tsi_percent_of_master_doctorate_or_above,previous_year_tsi_percent_of_special_edu_training,previous_year_tsi_percent_of_exp_0_4,previous_year_tsi_percent_of_exp_5_9,previous_year_tsi_percent_of_exp_10_or_above,previous_year_no_of_class_p1,previous_year_no_of_class_p2,previous_year_no_of_class_p3,previous_year_no_of_class_p4,previous_year_no_of_class_p5,previous_year_no_of_class_p6,previous_year_no_of_class_total,current_year_no_of_class_p1,current_year_no_of_class_p2,current_year_no_of_class_p3,current_year_no_of_class_p4,current_year_no_of_class_p5,current_year_no_of_class_p6,current_year_no_of_class_total,no_of_test_per_year_P1,no_of_exam_per_year_P1,replace_test_exam_P1,no_of_test_per_year_P2-P6,no_of_exam_P2-P6,upload_school_assessment_policy_to_school_web,upload_school_assignment_policy_to_school_web,school_starts_at,school_starts_at_AMPM,school_ends_at,school_ends_at_AMPM,school_major_concerns
Southern,Aberdeen St. Peter's Catholic Primary School,18,0.75,1.99,2.07,13.11,,http://www.aspcps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,5300,Chinese,-,St. Peter's Secondary School,-,Yes,-,30,1,3,1,"English Room, Computer Room, Music Room, Dancing Room, Religious Room, Flexible Learning Room, etc.","Ramp, Accessible lift, Accessible toilet, Braille and tactile floor plan and Tactile guide path plan.",53,56,100,96,36,73,6,11,83,4,4,5,5,5,5,28,4,4,4,5,5,5,27,0,2,Yes,0,3,Yes,Yes,8:15,AM,3:30,PM,"1. To enhance students' generic skills by aligning with the development of the school-based curriculum.   <br>2. To assist students in setting  aspirations and fostering good learning habits through implementing the ""The Stars of ASPCPS"" Talent Educational Program."
Wan Chai,Li Sing Tai Hang School,12,0.75,1.94,2.09,13,,http://www.lsths.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,1000,Chinese & English,-,-,-,Yes,-,12,1,1,1,"Library, Multi-purpose Room, Music Room, Conference Room, Medical Room, Activity Room.",-,25,28,82,93,36,18,32,18,50,2,1,2,2,2,2,11,2,2,1,2,2,2,11,2,0,Yes,4,0,Yes,Yes,8:20,AM,3:45,PM,"1. Establish a healthy lifestyle and embrace a healthy life. 2. Inherit Chinese virtues, strengthen national and national security education, and cultivate positive values and attitudes."
Wan Chai,TWGHs Li Chi Ho Primary School,12,0.59,2.12,2.12,12.96,,http://www.twghlchps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,2000,Chinese(incl.: Putonghua),-,-,-,-,Yes,18,1,1,1,"English room, Creative Space, real time distance learning room, central library, music room, visual-art room, student counselling room, student activity centre.",Ramp and Accessible lift.,34,36,100,100,28,61,17,19,64,3,2,3,3,3,3,17,3,3,2,3,3,3,17,0,2,Yes,0,3,Yes,Yes,8:15,AM,3:15,PM,"1. Develop children's positive values to encounter the challenges in learning and life, the ability to show their potential, care for others, know self-study, pursue excellence, strong language skills, Mathematics and science.<br>2. With the aim of cultivating a ""Love for learning and learning to love"", ""Change to become better"", ""Hope for future"", ""Passion for well-being"", and ""Success for everyone"", we strive to achieve these goals for our students."
Wan Chai,Sir Ellis Kadoorie (Sookunpo) Primary School,12,0.55,2.11,2.11,12.75,,http://www.sekps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,6200,English,-,-,Sir Ellis Kadoorie Secondary School (West Kowloon),Yes,-,23,1,2,1,"Music Rooms, Visual Arts Room, English Room, Chinese Room, 2 Computer Rooms, Campus TV Room, Student Activity Centre and STEAM Room.","Ramp, Accessible lift and Accessible toilet.",34,38,100,100,26,82,0,18,82,4,2,3,3,3,3,18,3,4,2,3,3,3,18,0,1,Yes,0,2,Yes,Yes,8:25,AM,3:15,PM,To help students to become dynamic and multi-talented individuals: <br>(1) To nurture our students into invigorating and revitalizing individuals.<br>(2) To enable students to possess essential skills for the 21st Century.
Southern,Hong Kong Southern District Government Primary School,18,0.75,1.92,1.92,12.6,,http://www.hksdgps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,4840,Chinese,-,-,"King's College, Belilios Public School, Clementi Secondary School,<br>Tang Shiu Kin Victoria Government School",Yes,-,24,1,2,1,"English Room, General Studies Room, Music Room, Visual Arts Room,<br>Computer Room, STEM Room, Dancing Room, School Campus TV.",Accessible lift and Accessible toilet.,44,46,100,100,39,86,6,20,74,4,4,4,4,4,4,24,4,4,4,4,4,4,24,1,1,Yes,2,2,No,No,8:20,AM,3:25,PM,"1. Promote innovative teaching methodologies, foster student-centred learning, enrich diverse learning experiences, enhance students' self-confidence, and prepare them for the future.<br>2. Broaden students' horizons, cultivate a positive life attitude, and nurture students to become responsible citizens of the new generation."
Southern,Precious Blood Primary School (South Horizons),18,0.77,1.88,1.88,12.48,,http://www.pbpssh.edu.hk,Aided,Whole Day,Co-ed,Catholicism,9129,Chinese,-,-,-,Yes,-,24,1,2,1,"Campus TV Control Room, Dancing Room, Prayer Room, English Room, General Studies Room, Music Room, Visual Art Room, Computer Room, STEAM Room, Special Teaching Room, etc.","Accessible lift, Accessible toilet, Braille and tactile floor plan, Tactile guide path and Accessible public information / service counter.",45,45,100,100,41,87,11,28,61,4,4,4,4,4,4,24,4,4,4,4,4,4,24,1,1,Yes,2,1,Yes,Yes,8:05,AM,3:15,PM,"1. To expand the realm of reading, promote a reading atmosphere and broaden disciplinary knowledge. <br>2. To cultivate positive thinking and reinforce value education, and thus the healthy development of our students."
Wan Chai,S.K.H. St. James' Primary School,12,0.68,1.93,1.93,12.37,,http://www.skhsjps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,11106,Chinese,-,-,-,Yes,-,30,1,3,1,"Language Room, Computer Room, Music Room, Visual-art Room, General Studies Room, Multi-purpose Room, Student Activity Room, Small Group Teaching Room, PTA/Alumni Room, SGT Room, Speech Therapy Room.",Accessible lift and Accessible toilet.,55,58,100,100,35,61,12,14,74,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,1,Yes,0,2,No,Yes,7:45,AM,2:45,PM,"1. ""Establish diverse learning experiences to enhance student interaction and learning effectiveness.<br>2. Create a positive school atmosphere to cultivate students' positive values and attitudes."""
Central & Western,S.K.H. St. Peter's Primary School,11,0.81,1.81,1.81,12.29,Y,http://www.spps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,7960,Chinese,-,-,-,Yes,-,36,2,4,2,"Music Room, Computer Room, Visual Arts Room, STEAM Room, English Room, Student Activity Room, Campus TV.",,67,74,88,100,45,59,24,16,60,6,6,6,6,6,6,36,6,6,6,6,6,6,36,1,1,Yes,2,2,Yes,Yes,7:55,AM,3:05,PM,"1. Fostering students' growth mindset and positive values to live a healthy and confident life. <br>2. Enhancing students' high order thinking and communication skills, integrating STEAM education and history-cultural education, and applying what they have learnt in practice."
Wan Chai,Hennessy Road Government Primary School (Causeway Bay),12,0.77,1.8,1.83,12.14,,https://www.hrgpscwb.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,5000,Chinese,-,-,"Queen's College, Belilios Public School, <br>Clementi Secondary School, Hotung Secondary School, <br>Tang Shiu Kin Victoria Government Secondary School",Yes,-,30,1,1,1,"13 special rooms including Computer Room, 2 Music Rooms, Campus TV Control Room, 3 Remedial Teaching Rooms, Visual Arts Room, Language Room, Medical Room, Student Guidance Officer's Room and so on.","Ramp, Accessible lift and Accessible toilet.",53,55,100,98,42,58,2,29,69,5,5,5,5,5,5,30,5,5,5,5,5,5,30,1,1,Yes,2,2,Yes,Yes,8:15,AM,3:15,PM,"1 .Cultivate students to become good citizens with global perspective and live a positive and healthy life. <br>2. Enhance students inquiry ability, creativity and language skills through the integration of science, technology and cross-curricular activities."
Southern,St. Peter's Catholic Primary School,18,0.62,1.89,1.89,11.93,,http://www.spcps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,6200,Chinese,-,St. Peter's Secondary School,-,Yes,-,24,1,1,1,"STREAM Multi-intelligence Learning Room, STEM+ Room, Tabletops Corner, Sports Zone, Science Room, Art Room, Religious Room, Music Room, Multi-Purpose Activity Room, English Room, P.E. Room, Counselling Room & Treatment Room","Ramp, Accessible lift and Tactile guide path plan.",39,39,87,100,33,61,15,15,70,3,3,3,3,4,4,20,2,3,3,3,3,4,18,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:20,PM,1. To employ the five core values of Catholic education to advance value education and strengthen students' mental health.<br>2. To use a variety of learning modes to optimize learning and teaching and boost learning competency.
Wan Chai,St. Paul's Primary Catholic School,12,0.54,1.88,2,11.8,Y,http://www.sppcs.edu.hk,Aided,Whole Day,Girls,Catholicism,22176,Chinese,-,St. Paul's Secondary School,-,Yes,-,24,1,2,1,"Chapel, Music Rm, Computer Rm, General Study Rm, Visual Arts Rm, Library, English Wonderland, Multifunction Area, SGP's Rm, Medical Rm and Activity Rms.","Ramp, Accessible lift and Accessible toilet.",48,48,100,94,27,57,19,27,54,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,No,No,8:10,AM,3:10,PM,"1. Area of Concern 1 - ""Strengthening values education and showcasing arts capacity""<br>2. Area of Concern 2 - ""Catering for learner diversity and enriching learning experiences""<br>"
Wan Chai,Hennessy Road Government Primary School,12,0.83,1.06,1.93,10.36,,http://www.hrgps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,4000,Chinese,-,-,"Queen's College, Belilios Public School, Clementi Secondary School,<br>Tang Siu Kin Victoria Government Secondary School,<br>Hotung Secondary School",Yes,-,30,1,1,1,"Visual art room, 3 music rooms, 2 student activity centres, computer room, Inno Space, 2 remedial learning rooms, counselling room, medical room.","Ramp, Accessible lift and Accessible toilet.",54,58,100,55,43,76,11,12,77,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,1,Yes,0,3,Yes,Yes,7:55,AM,2:55,PM,1. To foster student's life-long learning activity through various learning experience.<br>2. Further enhance value education to nurture students with health.
